,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,13.34,False,False,False,False,False,0,45,4.49,0,False,False,25.98,2,,False,False,False,46.2,Consumer Services,False,8.15,0,False,DRI
Value,False,False,False,7.12,True,False,False,False,False,0,107,5.03,0,False,False,25.56,2,,True,False,False,44.36,Utilities,False,13.41,0,False,DTE
Value,False,False,False,8.57,True,False,False,False,False,0,107,4.65,0,False,False,27.72,2,,True,False,False,52.68,Utilities,False,14.49,0,False,DUK
Value,False,False,False,12.53,False,False,False,False,False,0,58,8.94,0,True,False,21.55,2,,False,False,False,29.27,Healthcare,False,0.09,0,False,DVA
Value,False,False,False,8.97,False,False,False,False,False,0,66,7.7,0,False,False,34.41,2,LEAD_PERF,False,False,False,75.74,Oil & Gas Producers,False,17.74,0,False,DVN
Value,False,False,False,9.69,False,False,False,False,False,0,105,5.24,0,False,False,16.19,2,LAG_PERF,False,False,False,12.63,Software & Services,False,1.26,0,False,DXC
Value,False,False,False,13.04,False,False,False,False,False,0,58,8.34,0,True,False,27.32,2,,False,False,False,51.03,Healthcare,False,5.93,0,False,DXCM
Value,False,False,False,5.52,False,False,False,False,False,0,105,4.72,0,False,False,10.36,2,LAG_PERF,False,False,False,2.42,Software & Services,False,0.13,0,False,EA
Value,False,False,False,9.33,False,False,False,False,False,0,105,6.45,0,False,False,16.71,2,LAG_PERF,False,False,False,14.07,Software & Services,False,0.93,0,False,EBAY
Value,False,False,False,8.44,False,False,False,False,False,0,77,6.17,0,True,False,24.09,2,,False,False,False,38.63,Chemicals,False,9.48,0,False,ECL
Value,False,False,False,9.34,False,False,False,False,False,0,107,6.5,0,False,False,23.29,3,,False,False,False,35.68,Utilities,False,7.46,0,False,ED
Value,False,False,False,18.63,False,False,False,False,False,0,32,6.93,0,False,False,25.71,4,,False,False,False,45,Commercial Services,False,0.16,0,False,EFX
Value,False,False,False,10.57,True,False,False,False,False,0,107,6.36,0,False,False,27.43,3,,False,False,False,51.53,Utilities,False,10.49,0,False,EIX
Value,False,False,False,11.34,False,False,False,False,False,0,28,7.68,0,True,False,25.91,2,,False,False,False,45.8,Household Products,False,6.88,0,False,EL
Value,False,False,False,5.5,False,False,False,False,False,0,77,7.81,0,True,False,24.81,2,,False,False,False,41.51,Chemicals,False,11.51,0,False,EMN
Value,False,False,False,14.1,False,False,False,False,False,0,54,7.04,0,False,False,30.94,2,LEAD_PERF,False,False,False,64.59,Machinery,False,9.8,0,False,EMR
Value,False,False,False,8.13,False,False,False,False,False,0,66,7.73,0,False,False,36.25,1,LEAD_PERF,False,False,False,80.84,Oil & Gas Producers,False,20.39,0,False,EOG
Value,False,False,False,5.76,False,False,False,False,False,0,108,5.7,0,False,False,14.71,1,LAG_PERF,False,False,False,9.11,Real Estate,False,3.25,0,False,EQIX
Value,False,False,False,2.89,False,False,False,False,False,0,108,5.14,0,False,False,10.97,0,LAG_PERF,False,False,False,2.97,Real Estate,False,2.94,0,False,EQR
Value,False,False,False,8.16,False,False,False,False,False,0,107,6.09,0,False,False,19.05,2,LAG_PERF,False,False,False,20.93,Utilities,False,4.8,0,False,ES
Value,False,False,False,3.48,False,False,False,False,False,0,108,6.51,0,False,False,13.89,0,LAG_PERF,False,False,False,7.61,Real Estate,False,3.9,0,False,ESS
Value,False,False,False,6.63,False,False,False,False,False,0,19,5.69,0,False,False,17.19,1,LAG_PERF,False,False,False,15.38,Electrical Equipment,False,4.87,0,True,ETN
Value,False,False,False,7.4,True,False,False,False,False,0,107,6.64,0,False,False,30.28,2,LEAD_PERF,True,False,False,62.34,Utilities,False,16.23,0,False,ETR
Value,False,False,False,8.85,False,False,False,False,False,0,58,7.69,0,True,False,19.39,2,LAG_PERF,False,False,False,21.99,Healthcare,False,2.86,0,False,EW
